,article,av_views,month,q_wikidata,year
0,曲鯉,1.1,3,Q133980,2023
1,胡拉湖刺鯿,1.0357142857142858,3,Q2422373,2023
2,奧湖鱒,0.1111111111111111,3,Q134339,2023
3,长身鱊,0.8076923076923077,3,Q304824,2023
4,長鰭鱊,0.4,3,Q301782,2023
5,短吻鱘,2.7333333333333334,3,Q737579,2023
6,施氏鲟,1.8709677419354838,3,Q481710,2023
7,閃光鱘,3.0,3,Q739541,2023
8,歐洲鱘,3.1666666666666665,3,Q300955,2023
9,达氏鲟,39.483870967741936,3,Q589039,2023
10,俄羅斯鱘,3.5483870967741935,3,Q747645,2023
11,中吻鱘,1.6451612903225807,3,Q1552149,2023
12,中華鱘,75.03225806451613,3,Q1074259,2023
13,西伯利亞鱘,6.483870967741935,3,Q756771,2023
14,尖吻鱘,2.9310344827586206,3,Q756969,2023
15,特氏圓口鯔,0.08333333333333333,3,Q304861,2023
16,艾氏歐白魚,1.7666666666666666,3,Q301899,2023
17,光歐白魚,0.52,3,Q301413,2023
18,歐白魚,1.1111111111111112,3,Q200473,2023
19,威爾氏樸麗魚,0.21428571428571427,3,Q303616,2023
20,斑異育鱂,0.05,3,Q2248047,2023
21,西鯡,1.0,3,Q300997,2023
22,芬塔西鯡,0.4838709677419355,3,Q217759,2023
23,馬其頓西鯡,0.12903225806451613,3,Q304425,2023
24,黑海西鯡,0.16666666666666666,3,Q301393,2023
25,長體西鯡,0.16666666666666666,3,Q747783,2023
26,阿拉巴馬西鯡,0.13333333333333333,3,Q301472,2023
27,穴鈍鱸,0.05555555555555555,3,Q3756760,2023
28,奧薩克洞鱸,0.18181818181818182,3,Q2707647,2023
29,洞鱸,0.44,3,Q2842127,2023
30,墨西哥蝴蝶魚,0.8709677419354839,3,Q460553,2023
31,多鱗白魚,0.17391304347826086,3,Q303717,2023
32,短鬚戈海鯰,0.08333333333333333,3,Q3316727,2023
33,灰暗準海鯰,0.0,3,Q305730,2023
34,東方祕鱂,0.15,3,Q307812,2023
35,伊比利亞祕鱂,0.08695652173913043,3,Q2010263,2023
36,斑條祕鱂,0.14285714285714285,3,Q1050262,2023
37,大鰭祕鱂,0.058823529411764705,3,Q4779510,2023
38,銀光祕鱂,0.11764705882352941,3,Q302289,2023
39,巨骨舌鱼,86.83870967741936,3,Q145409,2023
40,泰勒俯海鯰,0.07142857142857142,3,Q15694087,2023
41,馬達加斯加海鯰,0.07142857142857142,3,Q303361,2023
42,奇異樸麗魚,0.05555555555555555,3,Q305869,2023
43,七彩樸麗魚,0.0,3,Q305884,2023
44,側帶樸麗魚,0.125,3,Q306503,2023
45,馬丁樸麗魚,0.35294117647058826,3,Q306208,2023
46,大眼樸麗魚,0.35714285714285715,3,Q306082,2023
47,緣膜樸麗魚,0.0,3,Q306478,2023
48,拉氏無紋鱂,0.0,3,Q305319,2023
49,博耶氏真銀漢魚,0.42857142857142855,3,Q301035,2023
50,點斑澳岩鱨,0.0,3,Q3643741,2023
51,吉氏澳岩鱨,0.0625,3,Q3643737,2023
52,南非澳岩鱨,0.06666666666666667,3,Q3643733,2023
53,細牙漢魚,0.0,3,Q5620031,2023
54,黑鰭袋唇魚,1.6538461538461537,3,Q187808,2023
55,妪鳞鲀,0.4827586206896552,3,Q302151,2023
56,安氏魮,0.10526315789473684,3,Q302487,2023
57,⿰每欠魮,,,Q302374,
58,紅鰭魮,0.05555555555555555,3,Q301723,2023
59,主魮,0.058823529411764705,3,Q302463,2023
60,特羅河魮,0.05263157894736842,3,Q118481,2023
61,短鰭魮,0.041666666666666664,3,Q155765,2023
62,埃博魮,0.45,3,Q302415,2023
63,穆脫魮,0.03333333333333333,3,Q610063,2023
64,普雷斯泊魮,0.07142857142857142,3,Q303393,2023
65,小犬魮,0.09090909090909091,3,Q2100500,2023
66,澳洲基銀漢魚,1.4545454545454546,3,Q309149,2023
67,細鱗基銀漢魚,0.125,3,Q309241,2023
68,芒蟾魚,0.043478260869565216,3,Q2773508,2023
69,吉氏皮杜銀漢魚,0.25,3,Q134492,2023
70,長臀皮杜銀漢魚,0.13333333333333333,3,Q4847649,2023
71,馬達加斯皮杜銀漢魚,0.2,3,Q139454,2023
72,三色皮杜銀漢魚,0.21428571428571427,3,Q4847679,2023
73,梳尾格鬥魚,0.5416666666666666,3,Q3235871,2023
74,銀鋸眶鯻,2.103448275862069,3,Q2711721,2023
75,粗體臂鈎躄魚,0.4642857142857143,3,Q309745,2023
76,布氏短南乳魚,0.08333333333333333,3,Q44358,2023
77,戈氏短南乳魚,0.2777777777777778,3,Q44569,2023
78,馬氏泡鼻鯰,0.0,3,Q308997,2023
79,嵴塘鳢,0.52,3,Q2297666,2023
80,盲䰾,0.3333333333333333,3,Q513217,2023
81,盲鯉,0.8461538461538461,3,Q303470,2023
82,凱恩斯銀漢魚,0.5333333333333333,3,Q1244375,2023
83,曲鱂,0.0,3,Q307071,2023
84,拉帕島尖鼻魨,0.06666666666666667,3,Q305441,2023
85,安塔利二鬚魮,0.2222222222222222,3,Q303348,2023
86,黑鲫,8.741935483870968,3,Q194031,2023
87,莫里牙漢魚,0.0,3,Q3320283,2023
88,閃光刺尻魚,0.07142857142857142,3,Q307749,2023
89,黃冠蝴蝶魚,0.18181818181818182,3,Q304869,2023
90,白梢蝴蝶魚,0.11764705882352941,3,Q304691,2023
91,馬利蝴蝶魚,0.3684210526315789,3,Q1994884,2023
92,斜紋前頷蝴蝶魚,0.13333333333333333,3,Q307753,2023
93,強壯蝴蝶魚,0.08333333333333333,3,Q304877,2023
94,莽棘齒鱂,0.058823529411764705,3,Q303420,2023
95,加氏棘齒鱂,0.21739130434782608,3,Q308048,2023
96,側棘齒鱂,0.045454545454545456,3,Q308127,2023
97,內達華州呵吸鯉,,,Q1149559,
98,曲紋唇魚,69.96774193548387,3,Q179377,2023
99,智利寶蓮燈魚,0.05555555555555555,3,Q308198,2023
100,加氏寶蓮燈魚,1.0526315789473684,3,Q4847663,2023
101,基氏寶蓮燈魚,0.0,3,Q309007,2023
102,小寶蓮燈魚,0.17391304347826086,3,Q309024,2023
103,短身穴麗魚,0.07142857142857142,3,Q2704847,2023
104,阿氏唇銀漢魚,0.0,3,Q642012,2023
105,布氏唇銀漢魚,0.0,3,Q532350,2023
106,新幾內亞唇銀漢魚,0.2222222222222222,3,Q3319636,2023
107,印尼唇銀漢魚,0.11764705882352941,3,Q2724791,2023
108,雙叉盤唇鱨,0.15789473684210525,3,Q3239360,2023
109,斯氏盤唇鱨,0.15384615384615385,3,Q2895565,2023
110,巴氏卡頦銀漢魚,1.28,3,Q309347,2023
111,白氏鎧弓魚,0.4583333333333333,3,Q2248198,2023
112,霍氏軟口魚,0.16666666666666666,3,Q305102,2023
113,多鱗軟口魚,0.13333333333333333,3,Q304460,2023
114,邁氏德州麗魚,0.11764705882352941,3,Q1028976,2023
115,墨西哥德州麗魚,0.0,3,Q636750,2023
116,強棘麗體魚,0.0,3,Q6425741,2023
117,弗氏泳海鯰,0.07692307692307693,3,Q303405,2023
118,麥氏鬍鯰,0.2,3,Q305845,2023
119,窄體似鯡,0.19230769230769232,3,Q307770,2023
120,黑海棱鯡,0.2608695652173913,3,Q248482,2023
121,考氏鰍,0.0,3,Q304350,2023
122,沼澤鰍,0.19047619047619047,3,Q302920,2023
123,斯氏鰍,0.09090909090909091,3,Q307108,2023
124,長鰍,0.08,3,Q729163,2023
125,澤鰍,0.045454545454545456,3,Q306858,2023
126,南歐鰍,0.0,3,Q2698856,2023
127,羅馬尼亞薩瓦納鰍,0.5,3,Q304365,2023
128,花鰍,2.3870967741935485,3,Q728408,2023
129,希臘鰍,0.43478260869565216,3,Q306957,2023
130,瘤鰍,0.0,3,Q3294119,2023
131,短命鰍,0.05555555555555555,3,Q3319963,2023
132,歐白鮭,1.3,3,Q754061,2023
133,阿爾佩白鮭,0.4090909090909091,3,Q309124,2023
134,湖白鮭,0.7666666666666667,3,Q2234656,2023
135,秋白鮭,0.8275862068965517,3,Q6714971,2023
136,霍氏白鮭,0.2777777777777778,3,Q1314556,2023
